"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2016-07-26T00:00:00.000Z,2016-07-26T09:00:00.000Z,"40.92","4",16,0,0
2016-07-27T00:00:00.000Z,2016-07-27T23:05:00.000Z,"40.90","4",16,0,0
2016-07-28T00:00:00.000Z,2016-07-28T23:35:00.000Z,"40.69","4",16,0,0
2016-07-29T00:00:00.000Z,2016-07-29T22:05:00.000Z,"40.49","4",16,0,0
2016-07-30T00:00:00.000Z,2016-07-30T22:35:00.000Z,"40.30","4",16,0,0
2016-07-31T00:00:00.000Z,2016-07-31T23:35:00.000Z,"40.09","4",16,0,0
2016-08-01T00:00:00.000Z,2016-08-01T22:30:00.000Z,"39.90","4",16,0,0
2016-08-02T00:00:00.000Z,2016-08-02T08:30:00.000Z,"36.81","4",16,0,0
2016-08-03T00:00:00.000Z,2016-08-03T23:55:00.000Z,"39.41","4",16,0,0
2016-08-04T00:00:00.000Z,2016-08-04T23:45:00.000Z,"39.19","4",16,0,0
2016-08-05T00:00:00.000Z,2016-08-05T23:59:59.000Z,"38.95","4",16,0,0
2016-08-06T00:00:00.000Z,2016-08-06T23:05:00.000Z,"38.72","4",16,0,0
2016-08-07T00:00:00.000Z,2016-08-07T23:59:59.000Z,"38.44","4",16,0,0
2016-08-08T00:00:00.000Z,2016-08-08T22:45:00.000Z,"38.19","4",16,0,0
2016-08-09T00:00:00.000Z,2016-08-09T21:50:00.000Z,"37.95","4",16,0,0
2016-08-10T00:00:00.000Z,2016-08-10T21:40:00.000Z,"37.86","4",16,0,0
2016-08-11T00:00:00.000Z,2016-08-11T22:45:00.000Z,"37.60","4",16,0,0
2016-08-12T00:00:00.000Z,2016-08-12T23:35:00.000Z,"37.34","4",16,0,0
2016-08-13T00:00:00.000Z,2016-08-13T23:30:00.000Z,"37.06","4",16,0,0
2016-08-14T00:00:00.000Z,2016-08-14T20:55:00.000Z,"36.87","4",16,0,0
2016-08-15T00:00:00.000Z,2016-08-15T23:25:00.000Z,"36.69","4",16,0,0
2016-08-16T00:00:00.000Z,2016-08-16T23:00:00.000Z,"36.57","4",16,0,0
2016-08-17T00:00:00.000Z,2016-08-17T16:30:00.000Z,"36.47","4",16,0,0
2016-08-18T00:00:00.000Z,2016-08-18T23:40:00.000Z,"36.36","4",16,0,0
2016-08-19T00:00:00.000Z,2016-08-19T23:50:00.000Z,"36.22","4",16,0,0
2016-08-20T00:00:00.000Z,2016-08-20T21:20:00.000Z,"36.08","4",16,0,0
2016-08-21T00:00:00.000Z,2016-08-21T22:05:00.000Z,"35.94","4",16,0,0
2016-08-22T00:00:00.000Z,2016-08-22T23:30:00.000Z,"35.77","4",16,0,0
2016-08-23T00:00:00.000Z,2016-08-23T23:15:00.000Z,"35.56","4",16,0,0
2016-08-24T00:00:00.000Z,2016-08-24T22:05:00.000Z,"35.34","4",16,0,0
2016-08-25T00:00:00.000Z,2016-08-25T12:20:00.000Z,"34.01","4",16,0,0
2016-08-26T00:00:00.000Z,2016-08-26T22:40:00.000Z,"34.84","4",16,0,0
2016-08-27T00:00:00.000Z,2016-08-27T23:05:00.000Z,"34.58","4",16,0,0
2016-08-28T00:00:00.000Z,2016-08-28T23:10:00.000Z,"34.32","4",16,0,0
2016-08-29T00:00:00.000Z,2016-08-29T23:35:00.000Z,"34.04","4",16,0,0
2016-08-30T00:00:00.000Z,2016-08-30T23:20:00.000Z,"33.93","4",16,0,0
2016-08-31T00:00:00.000Z,2016-08-31T23:20:00.000Z,"33.72","4",16,0,0
2016-09-01T00:00:00.000Z,2016-09-01T22:50:00.000Z,"33.44","4",16,0,0
2016-09-02T00:00:00.000Z,2016-09-02T23:05:00.000Z,"33.11","4",16,0,0
2016-09-03T00:00:00.000Z,2016-09-03T23:10:00.000Z,"32.80","4",16,0,0
2016-09-04T00:00:00.000Z,2016-09-04T23:55:00.000Z,"32.53","4",16,0,0
2016-09-05T00:00:00.000Z,2016-09-05T23:55:00.000Z,"32.20","4",16,0,0
2016-09-06T00:00:00.000Z,2016-09-06T23:55:00.000Z,"31.93","4",16,0,0
2016-09-07T00:00:00.000Z,2016-09-07T23:55:00.000Z,"31.65","4",16,0,0
2016-09-08T00:00:00.000Z,2016-09-08T23:55:00.000Z,"31.36","4",16,0,0
2016-09-09T00:00:00.000Z,2016-09-09T23:55:00.000Z,"31.08","4",16,0,0
2016-09-10T00:00:00.000Z,2016-09-10T20:55:00.000Z,"30.86","4",16,0,0
2016-09-11T00:00:00.000Z,2016-09-11T23:55:00.000Z,"30.56","4",16,0,0
2016-09-12T00:00:00.000Z,2016-09-12T22:55:00.000Z,"30.28","4",16,0,0
2016-09-13T00:00:00.000Z,2016-09-13T21:55:00.000Z,"29.97","4",16,0,0
2016-09-14T00:00:00.000Z,2016-09-14T22:25:00.000Z,"29.68","4",16,0,0
2016-09-15T00:00:00.000Z,2016-09-15T22:40:00.000Z,"29.52","4",16,0,0
2016-09-16T00:00:00.000Z,2016-09-16T21:55:00.000Z,"29.29","4",16,0,0
2016-09-17T00:00:00.000Z,2016-09-17T23:25:00.000Z,"29.00","4",16,0,0
2016-09-18T00:00:00.000Z,2016-09-18T22:25:00.000Z,"28.74","4",16,0,0
2016-09-19T00:00:00.000Z,2016-09-19T22:25:00.000Z,"28.45","4",16,0,0
2016-09-20T00:00:00.000Z,2016-09-20T22:55:00.000Z,"28.13","4",16,0,0
2016-09-21T00:00:00.000Z,2016-09-21T23:55:00.000Z,"27.76","4",16,0,0
2016-09-22T00:00:00.000Z,2016-09-22T23:55:00.000Z,"27.35","4",16,0,0
2016-09-23T00:00:00.000Z,2016-09-23T23:55:00.000Z,"26.86","4",16,0,0
2016-09-24T00:00:00.000Z,2016-09-24T19:25:00.000Z,"22.36","4",16,0,0
